id,user_id,category,description,address,landmark,image_path,image_hash,lat,lon,ai_urgency,user_urgency,ai_confidence,ai_method,status,assigned_agent,resolution_notes,estimated_resolution,created_at,updated_at,resolved_at,is_duplicate,department,work_started_at,work_completed_at,completion_image
14,4,Roads & Potholes,"Park maintenance needed. Grass uncut for weeks, overgrown and unkempt. Park benches need painting. Playground equipment slightly rusty. Overall maintenance required for community park.","Central Park, Sector 8",Main entrance near library,,,17.0035,73.2961,Medium,Low,0.83,text,Pending,,,4 days,2026-03-20T23:01:18.814274,2026-03-20T23:01:19.017237,,0,Roads & Infrastructure,,,
15,5,Public Safety & Others,Water meter showing incorrect readings. Bills seem higher than actual usage. Meter might need calibration or replacement. Not urgent but needs checking during routine maintenance visit.,"Tilak Nagar, House 42",Near Corner Shop,,,16.993499999999997,73.3051,High,Low,0.66,text,Pending,,,4 days,2026-03-20T23:01:18.819567,2026-03-20T23:01:19.023812,,0,Public Safety & General,,,
16,1,Traffic & Parking,Parking signs faded and barely readable near market area. Need repainting with reflective paint. Current signs are old and weathered. New signs would help with parking management.,"Market Area, Parking Zone B",Near Cinema Hall,,,17.0015,73.3111,Low,Low,0.67,text,Pending,,,4 days,2026-03-20T23:01:18.829983,2026-03-20T23:01:18.829983,,0,Traffic Management,,,
17,2,Tree Fall & Maintenance,Row of trees along boulevard need routine pruning. Lower branches hanging over walkway. Leaves accumulating on sidewalk. No immediate danger but scheduled maintenance would improve the area.,"Laxmi Road, Boulevard Section",Near College Gate,,,16.9925,73.2991,Low,Low,0.85,text,Pending,,,4 days,2026-03-20T23:01:18.839941,2026-03-20T23:01:18.839941,,0,Parks & Tree Maintenance,,,
18,3,Roads & Potholes,Minor pothole forming near colony entrance. Currently small but could worsen with rain. No immediate danger to vehicles. Preventive patching recommended before monsoon season.,"Green Colony, Gate Entrance",Near Security Booth,,,17.0105,73.3041,Low,Low,0.91,text,In Progress,AGT0001,Agent started work,4 days,2026-03-20T23:01:18.847598,2026-03-20T23:24:57.442183,,0,Roads & Infrastructure,,,
19,4,Garbage & Waste Management,Request for additional garbage bin near new bus stop. Current nearest bin is 200 meters away. People leaving litter around bus stop. A dedicated bin would help keep the area clean.,"NH-66, New Bus Stop",Near Highway Dhaba,,,16.9915,73.3081,Low,Low,0.92,text,Pending,,,4 days,2026-03-20T23:01:18.852486,2026-03-20T23:01:18.852486,,0,Sanitation & Waste,,,
20,5,Roads & Potholes,Road marking and lane dividers faded on main bypass road. White and yellow lines barely visible. Repainting needed for safe night driving. Low urgency as road is relatively new otherwise.,"City Bypass Road, Km 3",Near Toll Plaza,,,17.011499999999998,73.2931,Low,Low,0.9,text,Resolved,AGT0001,Issue resolved,4 days,2026-03-20T23:01:18.860546,2026-03-20T23:25:12.721796,2026-03-20T23:25:12.721796,0,Roads & Infrastructure,,,
21,6,Garbage & Waste Management,There is a large pothole in the middle of the road which is not visible at night. Several bikers have already fallen here. This needs immediate repair to avoid serious accidents.,"FC Road, Pune",Near Metro Station Gate 2,D:\H\citizen_ai\assets\uploaded_images\complaint_6_20260320_233444.jpg,a2bde227ce681f3f2255579146e89658,18.5150117,73.8422183,High,High,0.95,text,Resolved,AGT0001,Work on it,1 day,2026-03-20T23:34:57.370952,2026-03-20T23:39:13.661834,2026-03-20T23:39:13.661834,0,Sanitation & Waste,,,
22,1,Drainage & Water Logging,"Major water pipeline burst on MG Road near city hospital. Entire street flooded with water. Vehicles stuck, pedestrians unable to cross. Contaminated water mixing with road drainage. Emergency repair needed immediately.","MG Road, Near City Hospital, Ratnagiri",Opposite State Bank,,,17.005499999999998,73.3031,High,High,0.67,text,Pending,,,6 hours,2026-03-21T12:22:09.525610,2026-03-21T12:22:09.807478,,0,Drainage & Sewerage,,,
23,1,Public Safety & Others,Large banyan tree fallen across main road after heavy winds last night. Completely blocking traffic both ways. Tree has fallen on power lines causing sparking. Extremely dangerous situation. Fire risk.,"Station Road, Near Railway Crossing",Near Ganesh Temple,,,16.9975,73.3071,High,High,0.69,text,Pending,,,6 hours,2026-03-21T12:22:09.540863,2026-03-21T12:22:09.818916,,0,Public Safety & General,,,
24,1,Drainage & Water Logging,Exposed high-voltage wires hanging dangerously low near school entrance. Children walk past this area daily. Wire touching metal railing. Sparking observed during rain. Electrocution risk very high.,"School Lane, Sector 5",Near Government School,,,17.008499999999998,73.2981,High,High,0.86,text,In Progress,AGT0001,Agent assigned and investigating,6 hours,2026-03-21T12:22:09.550593,2026-03-21T12:22:09.826742,,0,Drainage & Sewerage,,,
25,1,Public Safety & Others,Massive sinkhole has formed on highway near bus stop. Almost 3 feet deep and 5 feet wide. A motorcycle accident already happened here yesterday. Very dangerous at night with no warning signs.,"NH-66, Near Bus Stand",Near Petrol Pump,,,16.9945,73.3101,High,High,0.89,text,In Progress,AGT0001,Agent assigned and investigating,6 hours,2026-03-21T12:22:09.561332,2026-03-21T12:22:09.837035,,0,Public Safety & General,,,
26,1,Roads & Potholes,Sewage overflow from main drainage line. Raw sewage flowing on residential streets. Unbearable smell. Health hazard for entire colony. Mosquito breeding ground. Multiple families affected. Disease outbreak risk.,"New Colony, Ward 12",Behind Market Complex,,,17.002499999999998,73.2951,High,High,0.87,text,In Progress,AGT0001,Agent assigned and investigating,6 hours,2026-03-21T12:22:09.570373,2026-03-21T12:22:09.843802,,0,Roads & Infrastructure,,,
27,1,Garbage & Waste Management,Community dustbin overflowing for 3 days. Garbage scattered by stray dogs. Bad smell spreading to nearby shops. Flies everywhere. Regular collection has been missed repeatedly this week.,"Main Market, Tilak Chowk",Near Post Office,,,17.0045,73.3081,High,Medium,0.9,text,Resolved,AGT0002,Issue has been resolved. Team dispatched and work completed.,2 days,2026-03-21T12:22:09.580876,2026-03-21T12:22:09.848847,2026-03-21T12:22:09.761260,0,Sanitation & Waste,,,
28,1,Streetlight & Electricity,Dim streetlight on residential street barely providing any illumination. Flickering on and off. Multiple complaints from women residents about safety concerns. Bulb needs replacement urgently.,"Savarkar Road, Lane 3",Near Shiv Temple,,,16.999499999999998,73.3041,Medium,Medium,0.92,text,Resolved,AGT0002,Issue has been resolved. Team dispatched and work completed.,2 days,2026-03-21T12:22:09.587031,2026-03-21T12:22:09.859667,2026-03-21T12:22:09.778643,0,Electricity & Streetlights,,,
29,1,Drainage & Water Logging,Storm drain near market area getting blocked frequently. Moderate waterlogging after every rain. Water enters some ground floor shops. Drain needs cleaning and widening. Garbage clogging the inlet.,"Market Road, Near Vegetable Market",Opposite Municipal Office,,,17.0075,73.2971,High,Medium,0.74,text,Resolved,AGT0002,Issue has been resolved. Team dispatched and work completed.,2 days,2026-03-21T12:22:09.591533,2026-03-21T12:22:09.868299,2026-03-21T12:22:09.791753,0,Drainage & Sewerage,,,
30,1,Traffic & Parking,Traffic signal at main junction malfunctioning. Green light timing too short during rush hour causing long queues. Accidents have increased at this intersection. Signal needs recalibration.,"Main Junction, Clock Tower Circle",Near Clock Tower,,,16.996499999999997,73.3061,Medium,Medium,0.72,text,Pending,,,2 days,2026-03-21T12:22:09.606722,2026-03-21T12:22:09.876271,,0,Traffic Management,,,
31,1,Public Safety & Others,Construction site noise continuing past 10 PM. Heavy machinery operating at night. Disturbing sleep of entire neighbourhood. Children and elderly residents suffering. No construction permit displayed.,"Patel Nagar, Plot 45",Near Community Hall,,,17.0095,73.3011,High,Medium,0.82,text,Pending,,,2 days,2026-03-21T12:22:09.616210,2026-03-21T12:22:09.882504,,0,Public Safety & General,,,
32,1,Water Supply Issues,Series of potholes forming on internal colony road after recent rain. Road surface deteriorating. Vehicles getting damaged. Speed is reduced. Road needs proper resurfacing not just patchwork.,"Gandhi Nagar, Main Internal Road",Near Water Tank,,,16.9985,73.2941,High,Medium,0.69,text,In Progress,AGT0004,Assigned by supervisor,2 days,2026-03-21T12:22:09.627058,2026-03-25T03:45:05.082996,,0,Water Supply,,,
33,1,Drainage & Water Logging,Water pressure very low during morning peak hours 6-9 AM. Barely a trickle from taps. Upper floor residents getting almost no water. Possible pipeline leak or insufficient pumping capacity.,"Shivaji Nagar, Block C",Near Children Park,,,17.0065,73.3091,Medium,Medium,0.76,text,Pending,,,2 days,2026-03-21T12:22:09.635678,2026-03-21T12:22:09.901781,,0,Drainage & Sewerage,,,
34,1,Tree Fall & Maintenance,Garbage collection truck not following schedule. Supposed to come daily but visits only 2-3 times a week. Bags pile up on the street. Stray animals tear them open. Need regular schedule adherence.,"Nehru Colony, Gate 2",Near Community Garden,,,16.9955,73.3021,High,Medium,0.92,text,Pending,,,2 days,2026-03-21T12:22:09.643061,2026-03-21T12:22:09.911097,,0,Parks & Tree Maintenance,,,
35,1,Roads & Potholes,"Park maintenance needed. Grass uncut for weeks, overgrown and unkempt. Park benches need painting. Playground equipment slightly rusty. Overall maintenance required for community park.","Central Park, Sector 8",Main entrance near library,,,17.0035,73.2961,Medium,Low,0.9,text,Pending,,,4 days,2026-03-21T12:22:09.652869,2026-03-21T12:22:09.918417,,0,Roads & Infrastructure,,,
36,1,Public Safety & Others,Water meter showing incorrect readings. Bills seem higher than actual usage. Meter might need calibration or replacement. Not urgent but needs checking during routine maintenance visit.,"Tilak Nagar, House 42",Near Corner Shop,,,16.993499999999997,73.3051,High,Low,0.76,text,Pending,,,4 days,2026-03-21T12:22:09.661385,2026-03-21T12:22:09.926723,,0,Public Safety & General,,,
37,1,Traffic & Parking,Parking signs faded and barely readable near market area. Need repainting with reflective paint. Current signs are old and weathered. New signs would help with parking management.,"Market Area, Parking Zone B",Near Cinema Hall,,,17.0015,73.3111,Low,Low,0.68,text,Pending,,,4 days,2026-03-21T12:22:09.669732,2026-03-21T12:22:09.669732,,0,Traffic Management,,,
38,1,Tree Fall & Maintenance,Row of trees along boulevard need routine pruning. Lower branches hanging over walkway. Leaves accumulating on sidewalk. No immediate danger but scheduled maintenance would improve the area.,"Laxmi Road, Boulevard Section",Near College Gate,,,16.9925,73.2991,Low,Low,0.86,text,Pending,,,4 days,2026-03-21T12:22:09.677030,2026-03-21T12:22:09.677030,,0,Parks & Tree Maintenance,,,
39,1,Roads & Potholes,Minor pothole forming near colony entrance. Currently small but could worsen with rain. No immediate danger to vehicles. Preventive patching recommended before monsoon season.,"Green Colony, Gate Entrance",Near Security Booth,,,17.0105,73.3041,Low,Low,0.73,text,Pending,,,4 days,2026-03-21T12:22:09.691416,2026-03-21T12:22:09.691416,,0,Roads & Infrastructure,,,
40,1,Garbage & Waste Management,Request for additional garbage bin near new bus stop. Current nearest bin is 200 meters away. People leaving litter around bus stop. A dedicated bin would help keep the area clean.,"NH-66, New Bus Stop",Near Highway Dhaba,,,16.9915,73.3081,Low,Low,0.78,text,Pending,,,4 days,2026-03-21T12:22:09.699030,2026-03-21T12:22:09.699030,,0,Sanitation & Waste,,,
41,1,Roads & Potholes,Road marking and lane dividers faded on main bypass road. White and yellow lines barely visible. Repainting needed for safe night driving. Low urgency as road is relatively new otherwise.,"City Bypass Road, Km 3",Near Toll Plaza,,,17.011499999999998,73.2931,Low,Low,0.86,text,Pending,,,4 days,2026-03-21T12:22:09.707350,2026-03-21T12:22:09.707350,,0,Roads & Infrastructure,,,
42,1,Roads & Potholes,"There is a large pothole in the middle of the road near the bus stop. Vehicles are swerving to avoid it, causing traffic and accidents especially during night.","Gondikuppi Main Road, Nipani 591237",Near Gondikuppi Bus Stop,D:\H\citizen_ai\assets\uploaded_images\complaint_1_20260321_134859.jpg,016afaf4ba196faed6c0f185a6cf0427,,,High,High,0.95,text,Resolved,AGT0010,Issue resolved,2 days,2026-03-21T13:49:00.755162,2026-03-24T22:48:05.588550,2026-03-24T22:48:05.588550,0,Roads & Infrastructure,2026-03-24T22:47:39.941934,2026-03-24T22:48:05.585835,assets/uploaded_images\proof_42_20260324_224805.jpg
43,7,Roads & Potholes,dfadf dfdf dfdf dsa ddss ,Kolhapur,Kolhapur,C:\Users\ap906\Desktop\RIT\assets\uploaded_images\complaint_7_20260324_153701.jpg,96d6ec90160eb63abdbad8e531a22918,16.7028412,74.2405329,Medium,Medium,0.49372375738747615,text,Pending,,,4 days,2026-03-24T15:37:02.919838,2026-03-24T15:37:02.919838,,0,Roads & Infrastructure,,,
44,8,Roads & Potholes,The major pothole near the SBI bank,kabsa bawada kolhpaur,sbi bank kol,C:\Users\ap906\Desktop\RIT\assets\uploaded_images\complaint_8_20260324_194525.jpg,96d6ec90160eb63abdbad8e531a22918,,,Medium,Medium,0.41713130861226505,text,Pending,,,4 days,2026-03-24T19:45:26.811433,2026-03-24T19:45:26.811433,,0,Roads & Infrastructure,,,
45,8,Roads & Potholes,"kolhapur road , pothhole",atyal,sbi bank atyal,C:\Users\ap906\Desktop\RIT\assets\uploaded_images\complaint_8_20260324_194601.jpg,c587f50039607416d326bc7c2d1930be,16.1993342,74.3166089,Medium,Medium,0.47122139723036605,text,Pending,,,4 days,2026-03-24T19:46:02.248516,2026-03-24T19:46:02.248516,,0,Roads & Infrastructure,,,
46,9,Roads & Potholes,"Highly recommend because , it center of the road so please the fix it ",Kolhapur ,Sbi bank ,C:\Users\ap906\Desktop\RIT\assets\uploaded_images\complaint_9_20260324_214052.jpg,84b4ee4a46e58c7e7fa48ce0f4db7fd5,,,Medium,High,0.47122139723036605,text,Pending,,,4 days,2026-03-24T21:40:54.090884,2026-03-24T21:40:54.090884,,0,Roads & Infrastructure,,,
47,9,Roads & Potholes,Major pothole in road causing accidents,"6b,Durugade complex",Sbi Bank,C:\Users\Kedar Durugade\Desktop\RIT2 git\RIT_Hackathon\assets\uploaded_images\complaint_9_20260325_022719.png,2db0c4ceceab95ba0f1b07fa7f9d4a29,,,High,High,0.95,text,In Progress,AGT0010,Assigned by supervisor,2 days,2026-03-25T02:27:20.886536,2026-03-25T03:35:56.736578,,0,Roads & Infrastructure,,,
